galaxyID,FOV,pixel,view,band,b_a,PA,n,Re,Ie,Mstar_ahf_cat
575,26,1300,projection_zx,mockmass,0.7832556888234463,0.14596444931549,1.0629839440619926,3.472666281216513,4.651359440290489,2593680000.0
576,39,1950,projection_xy,mockmass,0.9411761872387004,0.5572267338525436,1.074573058962692,4.613781699563937,4.322675608479854,2601250000.0
576,39,1950,projection_yz,mockmass,0.8321768608756702,2.4724223658087587,1.05067060981178,4.868898050925118,4.311425830555688,2601250000.0
576,39,1950,projection_zx,mockmass,0.8534716153404711,1.0239014661398265,0.9954783535405426,4.681608960191912,4.338365013649121,2601250000.0
585,29,1450,projection_xy,mockmass,0.7841757533811246,1.9040745855169572,1.0236411602640143,4.290335863797074,4.547690430461411,2736910000.0
585,29,1450,projection_yz,mockmass,0.6976875810368758,0.6537767289485348,1.007116764770288,4.150078503229008,4.619449780312506,2736910000.0
585,29,1450,projection_zx,mockmass,0.8944852965731185,0.1259989160928474,1.0693833064685738,4.2722970920583325,4.486544508674669,2736910000.0
595,25,1250,projection_xy,mockmass,0.6277737914106316,1.1919943097113763,0.7504725835566227,3.966613607303315,3.916214832686377,380062000.0
595,25,1250,projection_yz,mockmass,0.4181302708510836,0.3643524694062631,0.8180607560544517,5.178024322525069,3.839596422263757,380062000.0
595,25,1250,projection_zx,mockmass,0.7273348705619238,1.2233418600811865,0.7659032098900417,5.022380662614298,3.647750554690985,380062000.0
596,29,1450,projection_xy,mockmass,0.8315738521366927,0.74068122948705,0.6402286571796935,3.8620628231599823,3.988593773072741,584539000.0
596,29,1450,projection_yz,mockmass,0.9396936070999204,0.6942242252228463,0.6445782024617961,3.683527976664108,3.96937556594657,584539000.0
596,29,1450,projection_zx,mockmass,0.586590280784727,2.330149679308528,0.7453930934806845,4.5365868309638016,3.991913360960762,584539000.0
601,26,1300,projection_xy,mockmass,0.5559712622572525,0.8924233932068102,0.7101460236905379,4.631256025824733,4.369897469510877,1284380000.0
601,26,1300,projection_yz,mockmass,0.6712850604810492,2.938306388903806,0.6071333926717783,5.03515064473365,4.24319862658021,1284380000.0
601,26,1300,projection_zx,mockmass,0.7636940345785229,1.3657424548268022,0.6229880148394664,5.005129568596752,4.184155525029437,1284380000.0
602,25,1250,projection_xy,mockmass,0.8811457339543918,2.5215051061615177,0.8524767661441488,3.4834427307863085,4.4540912428075465,1541760000.0
602,25,1250,projection_yz,mockmass,0.6593325994822608,0.6834718655680919,0.901306869947798,4.190281796226631,4.41594288691628,1541760000.0
602,25,1250,projection_zx,mockmass,0.8730156041234794,1.8223054546955688,0.8534057260549486,3.67199536568545,4.414065557282028,1541760000.0
609,12,600,projection_xy,mockmass,0.8773145949769335,0.4736821157248516,0.6970203125518936,1.7815250202942872,3.834054118014445,97391800.0
609,12,600,projection_yz,mockmass,0.4168098992499546,2.666032784729419,0.6182865537119107,2.850968009704768,3.751423993033213,97391800.0
609,12,600,projection_zx,mockmass,0.592204788428775,1.6890657308752164,0.5422417346758046,2.5747779017816343,3.704646092513552,97391800.0
614,25,1250,projection_xy,mockmass,0.5533652876154668,1.5963494173444677,0.8385353881081345,4.323512765060623,4.057706990254984,581953000.0
614,25,1250,projection_yz,mockmass,0.837500166684247,2.7024944306892515,0.8134095526187264,2.7306927562479224,4.25796179951689,581953000.0
614,25,1250,projection_zx,mockmass,0.5609862888288609,0.2635040067590687,1.0569683094123348,4.8227840123867365,3.921519313746296,581953000.0
615,52,2600,projection_xy,mockmass,0.3880235467804026,3.078544777851586,2.0340755674330038,11.505328502481062,4.015313372779364,3820380000.0
615,52,2600,projection_yz,mockmass,0.3814304731294833,1.5422443861627977,1.925698426779122,11.378239321309492,4.057516752468712,3820380000.0
615,52,2600,projection_zx,mockmass,0.927477850605674,0.3030562511889001,1.317044730945602,2.790657652380635,4.854041656327015,3820380000.0
624,28,1400,projection_xy,mockmass,0.4557361905769026,0.7208213809991598,0.6168398722645229,4.947235130895714,3.5756793167889427,185423000.0
624,28,1400,projection_yz,mockmass,0.5868334450318635,2.887045234982068,0.5364041526541579,6.287246269644618,3.2723134461130936,185423000.0
624,28,1400,projection_zx,mockmass,0.4492944761410088,1.9292927777858644,0.5841826573364302,6.709313672485767,3.3243035750485124,185423000.0
625,20,1000,projection_xy,mockmass,0.7699469895284557,2.003869183746848,0.8468114727485363,3.3349163715571297,4.45724057301699,1265520000.0
625,20,1000,projection_yz,mockmass,0.7048335070726081,2.165181859472128,0.8135434926670149,2.9048809274304084,4.610276084514279,1265520000.0
