pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,2283,projection_zx,45543145.472,-14.449050405359204,44424255.8976,-12.500164778002944,18,50126330.2656,-13.816057555484674
550,929,projection_xy,144581905.6128,-15.512397533977344,118292991.1808,-14.129965393535933,19,224898292.1216,-15.070284861299713
550,929,projection_yz,136154421.65760002,-15.466234372898144,113368852.0704,-14.042346093319331,19,207461941.248,-15.005079374386709
550,929,projection_zx,145356383.8464,-15.518406833485438,118949530.82880001,-14.118202815785281,19,222474954.3424,-15.076085275308815
550,227,projection_xy,485358147.9936,-17.290838215053853,608604677.7344,-14.664459518749283,8,367945764.04480004,-16.38515581194762
550,227,projection_yz,354064452.8128,-16.964052037532575,450423265.68960005,-14.338152499647972,8,272433807.36,-16.042705817162236
550,227,projection_zx,476434241.94560003,-17.258424811316594,590704017.408,-14.662456845112395,8,367267702.3744,-16.36500741809742
550,14240,projection_xy,4438181.888,-11.852391470448675,4064027.0336,-10.11660431598576,11,5580096.7168000005,-11.288012741887359
550,14240,projection_yz,4439214.8992,-11.852534920821418,4064564.0192,-10.116960503609512,11,5581927.6288,-11.288265423544315
550,14240,projection_zx,4441470.5664,-11.852958267924665,4066149.1712,-10.117753736564374,11,5586007.2448,-11.288816970968684
550,370,projection_xy,1037699750.2976,-17.572049510149476,788532874.4448,-16.279459183445297,22,1628484665.344,-17.210179280573648
550,370,projection_yz,981926412.288,-17.525714634849592,755589395.2512001,-16.207260357747515,22,1523716404.0192,-17.150197355071356
550,370,projection_zx,1414587953.9712,-17.816832065907754,987945133.6704,-16.72178168375111,22,2447443492.8640003,-17.546574888738135
550,300,projection_xy,1453662719.1808,-18.388879324667577,1673214925.2096,-15.938538308403867,26,1189639356.4160001,-17.576159131523383
550,300,projection_yz,1572308674.1504002,-18.467461399525682,1798806962.176,-16.029550360676776,26,1293659983.0528002,-17.661344525887834
550,300,projection_zx,1508393038.6432002,-18.439847453716105,1753634098.3808,-15.967579707539567,26,1221889359.872,-17.616286298584455
550,206,projection_xy,295546624.4096,-16.72219798517377,360478356.2752,-14.249422843214134,10,251055151.51360002,-15.846565008530016
550,206,projection_yz,233435457.12640002,-16.49581116206462,292633785.13920003,-13.95107250291474,10,190734388.42880002,-15.59041705713109
550,206,projection_zx,337483556.4544,-16.840798112605178,402086271.38560003,-14.433545648389153,10,297452935.5776,-15.99063154280582
550,2728,projection_xy,29562568.704,-13.951293637741328,28087782.6048,-12.084272107175785,24,34175025.152,-13.346855418480269
550,2728,projection_yz,29557715.7632,-13.951135674933257,28083696.435200002,-12.08400296622235,24,34166554.624,-13.346677171248023
