pixel,sim,view,lum_g,mag_r,lum_r,mag_u,FOV,lum_u,mag_g
550,1323,projection_yz,11824498.2784,-12.504461355690514,7409425.6128,-11.630965868933501,8,22510562.5088,-12.351956805967545
550,1323,projection_zx,11950941.7984,-12.5121089420529,7461799.526400001,-11.648753342407034,8,22882387.5584,-12.36350532842616
550,2011,projection_xy,8683406.1312,-12.434410073512383,6946467.840000001,-10.948522389613935,10,12006293.504,-12.016725284663769
550,2011,projection_yz,8679736.9344,-12.434158571179898,6944858.9312,-10.94784433916967,10,11998797.824000001,-12.016266406930354
550,2011,projection_zx,8683547.0336,-12.434373709160875,6946235.1872000005,-10.948590763983315,10,12007049.6256,-12.016742902358201
550,7465,projection_xy,10597209.7024,-12.82316776578819,9937270.374400001,-11.009298430643028,18,12697533.6448,-12.232978821092482
550,7465,projection_yz,10597172.8384,-12.823150849216843,9937115.5456,-11.009298850930126,18,12697538.56,-12.23297504418798
550,7465,projection_zx,10597345.6896,-12.823155503537889,9937158.144000001,-11.009309288007529,18,12697660.6208,-12.232992753559921
550,3667,projection_xy,1652199.5264,-10.70921251091131,1418028.6464,-9.104142173699845,9,2196124.0576,-10.215156233341666
550,3667,projection_yz,1652180.7872000001,-10.709187029250554,1417995.3664000002,-9.104181761944224,9,2196204.1344000003,-10.215143918882701
550,3667,projection_zx,1652233.6256000001,-10.70922215458385,1418041.2416,-9.104173358422239,9,2196187.136,-10.215178641261144
550,1000,projection_xy,124464227.94240001,-15.171900053629594,86449009.45920001,-14.234486324351952,13,247625023.488,-14.907611373769354
550,1000,projection_yz,108709393.20320001,-15.064976869932016,78341295.3088,-14.062188150278615,13,211288208.17920002,-14.760667678984548
550,1000,projection_zx,120558282.3424,-15.138547056794584,83833736.39680001,-14.239152142782626,13,248691451.49440002,-14.872992629318786
550,559,projection_xy,445229354.18880004,-16.748840407000166,369433405.03040004,-15.24019294160097,17,625283799.4496,-16.291459474634856
550,559,projection_yz,411741926.1952,-16.688723735180282,349534053.9904,-15.104818050915586,17,551984929.1776,-16.20656272972439
550,559,projection_zx,478252053.2992,-16.804893438954906,389006963.5072,-15.334653836607757,17,682121179.9552001,-16.369142108194218
550,763,projection_xy,177118340.71040002,-15.862237178664449,163265668.71040002,-14.063913784609245,16,211624289.8944,-15.29065883743174
550,763,projection_yz,157548989.6448,-15.75581313418254,148021654.32320002,-13.940355425492008,16,188860950.1184,-15.163539056015685
550,763,projection_zx,164353697.3824,-15.795658166086136,153554753.9456,-13.982033897290364,16,196251759.41120002,-15.209448696579726
550,239,projection_xy,1524600248.7296002,-18.34830403881675,1611838835.9168,-16.217417191617507,25,1538037330.7392,-17.627889965716548
550,239,projection_yz,1212950039.7568002,-18.131366864286363,1319917374.6688,-15.931398393885317,25,1181841830.7072,-17.37960728265947
550,239,projection_zx,644740127.1296,-17.546930114108463,770498940.1088,-15.117076036292922,25,558252163.072,-16.693461751332947
550,530,projection_xy,561332197.7856001,-17.09808732871513,509606467.9936,-15.264072905871252,21,639188808.4992,-16.54304988472061
550,530,projection_yz,710931644.416,-17.294165926244496,610472873.1648,-15.576443792350421,21,852270619.0336001,-16.799569614060495
550,530,projection_zx,445330069.9136,-16.896483057814187,423246351.5648,-14.987785765993692,21,495580610.56,-16.291705052203987
550,487,projection_xy,786242574.7456,-17.187517823048232,553359192.8832,-16.184876986964486,18,1492625286.7584,-16.90889139251729
550,487,projection_yz,641363659.9808,-17.009318259332126,469599151.7184,-15.889871972778643,18,1137493147.648,-16.68776087231081
